case,output,object,action_relation,scene,count_layout,best,notes
F001,A,partial,partial,wrong,partial,all_wrong,人踩板张臂但滑板沿矮墙变为雪坡滑雪
F001,B,partial,partial,wrong,partial,all_wrong,单人侧滑雪板代替墙沿滑板；树林变雪道
F002,A,partial,partial,correct,wrong,B,床上有猫但增加棕狗；猫未蜷睡且缺玩偶
F002,B,correct,partial,correct,partial,B,保留床上黑白猫但增加前方橘猫；缺右侧玩偶
F002,C,wrong,partial,correct,partial,B,黑白猫变成卧床黑白狗；床品和玩偶缺失
F003,A,correct,partial,partial,partial,A,单只长颈鹿保留但更正面静立；灌木地变开阔草坪
F003,B,correct,partial,partial,partial,A,长颈鹿转为正面站立；背景多建筑道路
F003,C,wrong,partial,partial,partial,A,长颈鹿被大象替代；草地变硬质地面
F004,A,partial,wrong,partial,partial,C,滑雪者变成雪上跨步人物；缺雪杖且远景出现海面
F004,B,correct,partial,correct,partial,C,雪坡人物放大且缺双杖；远处第二人消失
F004,C,correct,correct,correct,partial,C,双杖滑雪动作对应；人物更大且缺远处滑雪者
F005,A,partial,wrong,partial,wrong,B,持滑板背行变两人侧向站走；额外滑板落地且长椅缺失
F005,B,partial,partial,partial,partial,B,单人背向走路对应；手持物呈弯杆而非明确滑板；长椅缺失
F006,A,partial,wrong,partial,wrong,all_wrong,改为儿童独自滑板；缺轮椅乘坐者及同行关系
F006,B,wrong,wrong,partial,wrong,all_wrong,轮椅和滑板人物被狗与围观者替代
F007,A,wrong,wrong,partial,wrong,all_wrong,斑马变成伏卧的棕色有蹄动物；缺站立全身
F007,B,wrong,partial,partial,wrong,all_wrong,斑马变成长颈鹿头部；全身和前景岩石缺失
F008,A,wrong,partial,partial,wrong,all_wrong,坡上白马变为近处低头绵羊并增加后方动物；缺电杆
F008,B,wrong,partial,partial,wrong,all_wrong,单匹白马变多只羊状动物；斜坡和电杆缺失
F008,C,wrong,correct,partial,partial,all_wrong,白马变短颈羊状动物；站立保留但变平草地且缺电杆
F009,A,correct,partial,partial,partial,C,保留STOP牌但变蓝色；街名牌和涂鸦缺失
F009,B,correct,partial,correct,partial,C,STOP牌变绿色并横向拉宽；缺上方街名牌和下方禁停牌
F009,C,correct,partial,correct,partial,C,红STOP牌对应；附牌文字布局不同且缺涂鸦
F010,A,wrong,wrong,partial,partial,all_wrong,床上伸展猫变成躺卧人物；书架和床栏缺失
F010,B,wrong,wrong,partial,partial,all_wrong,猫变成沙发上躺着的人；卧室书架改为电视柜
