image_id,target_description,category_scene_acceptable_indices,partial_match_indices,count_position_layout,blind_notes,C-selected,Mean-selected,Oracle-cosine,Oracle-identification,pool_has_category_scene_match,C_hits_category_scene_match,Mean_hits_category_scene_match,Uniform_category_scene_rate,pool_has_match_but_C_misses,E-selected,E_hits_category_scene_match,E_recovers_C_miss,E_loses_C_hit,E_differs_C
13223,高架列车与双烟囱,3,3,0-7均未保留高架和双烟囱布局,3为地面货车而非高架客车；其余多为飞机或空旷道路,7,7,5,3,True,False,False,0.125,True,3,True,True,False,True
15191,浴室内男子刷牙,,0;3;7,人物动作、视角和室内布局均不对应,0和3有人物与浴室语境，7为人物靠近家电；均未明确恢复刷牙,2,2,2,3,False,False,False,0.0,False,6,False,False,False,True
16800,脚踩滑板的轮子近景,,,无人恢复脚和滑板轮子,0-2及4-7均为飞机；3是斜坡运动人物，仍非目标近景,3,6,3,3,False,False,False,0.0,False,3,False,False,False,False
17865,海滩海浪中多人冲浪,7,2;7,7仅保留少量水中人物，人数和浪带不符,0;1;3-6变为草地动物；7海面和水中人最接近，2只有岸上人物,7,6,7,2,True,True,False,0.125,False,1,False,False,True,True
21558,双手在厨房处理胡萝卜,,0;1;2;5;6;7,胡萝卜束和透明容器未恢复,多图保留手与食物操作，但换成香蕉或饼类；6保留切食物动作,4,3,6,0,False,False,False,0.0,False,5,False,False,False,True
25374,草地倒木旁的小型棕色动物,,,倒木位置与动物类别均未恢复,多数为海边大象，3为鸟，4和6为室内浴室,0,4,5,5,False,False,False,0.0,False,0,False,False,False,False
28157,红办公椅和多屏电脑桌,,5,主椅与多屏工作台缺失,多数为卧室，5有红椅和屏幕但仍以床为中心,7,7,5,0,False,False,False,0.0,False,3,False,False,False,True
29400,婚礼中男女共同切蛋糕,,0;2;3;4;6,婚礼礼服、白色花饰蛋糕和切蛋糕动作未完整保留,多人围蛋糕主题多次出现但偏生日派对；不能视为婚礼重建成功,2,0,2,2,False,False,False,0.0,False,2,False,False,False,False
29511,空旷天空下的货运列车,,,列车整列缺失,全为海岸天空或低信息背景；没有目标主体,6,6,5,4,False,False,False,0.0,False,3,False,False,False,True
29610,街道交叉口车辆与白色建筑,0;1;4;5;6;7,2,建筑立面与车辆数量位置不同,多数有车辆街景；0和7较接近街口构图，3只剩建筑近景,6,6,5,0,True,True,True,0.75,False,0,True,False,False,True
29815,洗手台上方镜子和毛巾架,,3,毛巾架缺失，镜子位置比例不对,多数保留浴室但改为马桶；3有镜子和水池局部，仍不完整,5,3,3,3,False,False,False,0.0,False,5,False,False,False,False
31251,街边多灯摩托车正面,,2,多灯摩托车主体缺失,2只有侧面自行车；其余多为飞机，4为汽车,4,4,7,7,False,False,False,0.0,False,5,False,False,False,True
