"image_id","target_description","category_scene_acceptable_indices","partial_match_indices","count_position_layout","blind_notes"
"13223","高架列车与双烟囱","3","3","0-7均未保留高架和双烟囱布局","3为地面货车而非高架客车；其余多为飞机或空旷道路"
"15191","浴室内男子刷牙","","0;3;7","人物动作、视角和室内布局均不对应","0和3有人物与浴室语境，7为人物靠近家电；均未明确恢复刷牙"
"16800","脚踩滑板的轮子近景","","","无人恢复脚和滑板轮子","0-2及4-7均为飞机；3是斜坡运动人物，仍非目标近景"
"17865","海滩海浪中多人冲浪","7","2;7","7仅保留少量水中人物，人数和浪带不符","0;1;3-6变为草地动物；7海面和水中人最接近，2只有岸上人物"
"21558","双手在厨房处理胡萝卜","","0;1;2;5;6;7","胡萝卜束和透明容器未恢复","多图保留手与食物操作，但换成香蕉或饼类；6保留切食物动作"
"25374","草地倒木旁的小型棕色动物","","","倒木位置与动物类别均未恢复","多数为海边大象，3为鸟，4和6为室内浴室"
"28157","红办公椅和多屏电脑桌","","5","主椅与多屏工作台缺失","多数为卧室，5有红椅和屏幕但仍以床为中心"
"29400","婚礼中男女共同切蛋糕","","0;2;3;4;6","婚礼礼服、白色花饰蛋糕和切蛋糕动作未完整保留","多人围蛋糕主题多次出现但偏生日派对；不能视为婚礼重建成功"
"29511","空旷天空下的货运列车","","","列车整列缺失","全为海岸天空或低信息背景；没有目标主体"
"29610","街道交叉口车辆与白色建筑","0;1;4;5;6;7","2","建筑立面与车辆数量位置不同","多数有车辆街景；0和7较接近街口构图，3只剩建筑近景"
"29815","洗手台上方镜子和毛巾架","","3","毛巾架缺失，镜子位置比例不对","多数保留浴室但改为马桶；3有镜子和水池局部，仍不完整"
"31251","街边多灯摩托车正面","","2","多灯摩托车主体缺失","2只有侧面自行车；其余多为飞机，4为汽车"
"33256","开阔场地上多人放风筝","","1;2","人物与树线布局未保留","1有风筝和地面但无人且背景变山；2仅天空风筝；其余混入飞机"
"34998","俯视棒球比赛投打场景","0;2;4;6;7","5","投手捕手裁判与打者的人数位置普遍缺失","0;2;4;6;7保留棒球场和运动员，4有投打关系；1和3变风帆风筝"
"37899","两只斑马低头近景","0;2;3;4;5;7","","多数斑马数量和裁切不符，7低头姿势相近","1长颈鹿、6大象；其余斑马类别正确，7更接近低头主题"
"38887","白盘中的奶油蛋糕甜点","","","奶油和甜点摆盘缺失","全为咸食或披萨蔬菜面包；只保留食物盘子主题"
"41120","林间铁轨上人物与铁路道口标志","","","铁轨和道口标志未恢复","全为城市道路汽车，1有人但并非铁路场景"
"42302","枝叶红果中遮挡的黑色动物","","","遮挡主体及红果枝叶构图全部缺失","GT动物具体物种难辨，不强行定名；候选全为开阔草地鸟或长颈鹿斑马"
"43211","海滩上持冲浪板的单人","0;1;3","2","3姿势近似但呈画框图片；0和1海岸线与板方向不同","0;1;3有海滩和持板人物；4卧室，5-7滑雪"
"48911","街边长凳上读书的男子","","3;6","书本、长凳、男子身份与动作均未恢复","多为室内女子；3和6有街边坐姿但不读书"
"51865","花园门廊白椅与盆栽","","","门廊和户外环境缺失","0-3厨房；4-7浴室；没有户外椅子场景"
"54054","室内扶手椅上的戴帽长发女子","","5","帽子、长发、扶手椅和暗色室内均未准确恢复","全为短发男性坐姿；5是室内但人物不符"
"5683","暖光下大象侧后方近景","7","","7为正面而非侧后方，象牙和暖色缺失","7唯一明确大象；其余牛鸟或混合动物"
"56963","白盒上多个巧克力甜甜圈","","","所有食物和盒子结构都缺失","八张均为海浪冲浪或水上人物；选择无法恢复甜甜圈"
"58157","戴眼镜人物脸部被宠物遮挡近景","","5","宠物遮挡脸部关系未恢复","5有眼镜女子和小动物但布局不同；其余以宠物为主且无人物"
"59101","围栏前长颈鹿脸部近景及后方同类","1","","1有长颈鹿和围栏但距离更远且缺后方同类","0;2;4为狗，3;5-7为牛或混合动物"
"62587","城市路边多辆公交车","1;3;5;7","","公交车数量、近侧裁切和排列不同","1;3;5;7有公交；0;2;4;6变飞机，7有后方其他车辆"
"64050","晴天下多头黑白牛及右侧大牛近景","0;1;2;3;4;5;6;7","","牛的毛色、数量与右大左小布局均改变","全保留户外牛主题，但没有忠实恢复黑白牛近景"
"65690","路边长凳上弯身的人和背包","0;3;4;5","6","背包和弯身动作普遍缺失；3坐姿方向较接近","0;3;4;5有长凳人物；1;2;7为飞机；6为轮椅人物"
"67261","草地上成排STOP标志","","2;6","成排路牌与草地布局缺失，文字多错误","2和6有局部红路牌但主体变飞机船；其他为展示物车辆时钟"
"68553","多人围着厨房微波炉观看操作","","1;2;3;5","微波炉指向动作与背面人物布局未恢复","多为厨房人物但表情动作变形，3有烤箱；4转室内拍照"
"71264","桌面电脑屏幕与饮料食物","1;2;4;6;7","0;3;5","显示器类型、杯盘和近景遮挡关系不同","1;2;4;6;7同时有电脑与桌面饮食；0;3缺食物，5仅食物无电脑"
